date,close,asset_return,signal,position,turnover,strategy_return,nav,asset_nav
2010-05-27,3223.431,,0,0.0,0.0,,1.0,1.0
2010-05-28,3221.74,-0.0005245963074749227,0,0.0,0.0,-0.0,1.0,0.9994754036925251
2010-05-31,3130.954,-0.02817918267768338,0,0.0,0.0,-0.0,1.0,0.9713110037100221
2010-06-01,3087.956,-0.013733194419336736,0,0.0,0.0,-0.0,1.0,0.9579718008544312
2010-06-02,3114.218,0.008504654859071703,0,0.0,0.0,0.0,1.0,0.9661190203854215
2010-06-03,3091.48,-0.007301351414705004,0,0.0,0.0,-0.0,1.0,0.959065045909157
2010-06-04,3106.367,0.004815492903075702,0,0.0,0.0,0.0,1.0,0.9636834168313205
2010-06-07,3067.169,-0.012618599154575194,0,0.0,0.0,-0.0,1.0,0.9515230820824147
2010-06-08,3081.74,0.00475063486883176,0,0.0,0.0,0.0,1.0,0.9560434208146537
2010-06-09,3169.266,0.028401487471363618,0,0.0,0.0,0.0,1.0,0.9831964760530006
2010-06-10,3148.913,-0.006421991716693998,0,0.0,0.0,-0.0,1.0,0.9768823964279055
2010-06-11,3148.398,-0.00016354850070476878,0,0.0,0.0,-0.0,1.0,0.9767226287766049
2010-06-17,3123.838,-0.0078007926570909936,0,0.0,0.0,-0.0,1.0,0.9691034180660297
2010-06-18,3042.931,-0.0258998706078869,0,0.0,0.0,-0.0,1.0,0.9440037649324586
2010-06-21,3133.849,0.029878429711353904,0,0.0,0.0,0.0,1.0,0.9722091150702465
2010-06-22,3145.721,0.0037883127106634884,0,0.0,0.0,0.0,1.0,0.9758921472182901
2010-06-23,3122.841,-0.0072733723047911925,0,0.0,0.0,-0.0,1.0,0.9687941203022494
2010-06-24,3122.774,-2.145482270787813e-05,0,0.0,0.0,-0.0,1.0,0.9687733349961579
2010-06-25,3088.873,-0.010856052983661324,0,0.0,0.0,-0.0,1.0,0.9582562803422814
2010-06-28,3055.475,-0.010812357775797254,0,0.0,0.0,-0.0,1.0,0.947895270598316
2010-06-29,2903.186,-0.04984135036287307,0,0.0,0.0,-0.0,1.0,0.9006508903091149
2010-06-30,2862.784,-0.013916435254234472,0,0.0,0.0,-0.0,1.0,0.8881170405074595
2010-07-01,2821.479,-0.014428262837853034,0,0.0,0.0,-0.0,1.0,0.8753030544162418
2010-07-02,2819.716,-0.0006248495912959395,0,0.0,0.0,-0.0,1.0,0.8747561216604297
2010-07-05,2798.436,-0.00754685932909549,1,0.0,0.0,-0.0,1.0,0.8681544602629933
2010-07-06,2863.208,0.02314578571745063,1,1.0,1.0,0.02264578571745063,1.0226457857174507,0.8882485773698895
2010-07-07,2890.858,0.009657000120145032,1,1.0,0.0,0.009657000120145032,1.03252147619299,0.8968263939882691
2010-07-08,2882.316,-0.0029548320948314943,1,1.0,0.0,-0.0029548320948314943,1.029470548596532,0.8941764225758206
2010-07-09,2963.601,0.028201279804157542,1,1.0,0.0,0.028201279804157542,1.0585029355876425,0.9193933420631619
2010-07-12,2996.35,0.01105040793278178,1,1.0,0.0,0.01105040793278178,1.070199824823933,0.9295530135436434
2010-07-13,2951.067,-0.015112720476579855,1,1.0,0.0,-0.015112720476579855,1.0540261940172841,0.9155049386817958
2010-07-14,2974.539,0.007953733344583602,1,1.0,0.0,0.007953733344583602,1.0624096373027039,0.9227866208397202
2010-07-15,2916.699,-0.019445029969349936,1,1.0,0.0,-0.019445029969349936,1.0417510500656266,0.9048430073421767
2010-07-16,2928.325,0.003986012955056406,1,1.0,0.0,0.003986012955056406,1.045903483247132,0.9084497232917348
2010-07-19,2999.13,0.02417935167715335,1,1.0,0.0,0.02417935167715335,1.071192751388924,0.9304154486322183
2010-07-20,3072.461,0.02445075738630864,1,1.0,0.0,0.02445075738630864,1.097384225467107,0.9531648110351981
2010-07-21,3078.941,0.0021090585039158505,1,1.0,0.0,0.0021090585039158505,1.0996986729998914,0.9551750913855452
2010-07-22,3119.909,0.01330587367539704,1,1.0,0.0,0.01330587367539704,1.1143311246238297,0.9678845304894071
2010-07-23,3128.351,0.002705848151340229,1,1.0,0.0,0.002705848151340229,1.1173463354373738,0.9705034790569427
2010-07-26,3157.164,0.009210283628659388,1,1.0,0.0,0.009210283628659388,1.1276374120981951,0.9794420913616578
2010-07-27,3146.779,-0.0032893444876478384,1,1.0,0.0,-0.0032893444876478384,1.1239282241926445,0.9762203689174671
2010-07-28,3220.088,0.023296520028893042,1,1.0,0.0,0.023296520028893042,1.1501118405785866,0.9989629062945662
2010-07-29,3238.269,0.00564611898805234,1,1.0,0.0,0.00564611898805234,1.1566055088800613,1.0046031697281559
2010-07-30,3231.484,-0.002095255211966629,1,1.0,0.0,-0.002095255211966629,1.1541821251593911,1.0024982697008247
2010-08-02,3289.324,0.017898897224928323,1,1.0,0.0,0.017898897224928323,1.1748407123964684,1.0204418831983681
2010-08-03,3233.472,-0.01697978064793859,1,1.0,0.0,-0.01697978064793859,1.1548921748037084,1.0031150038576906
2010-08-04,3255.485,0.006807852364269618,1,1.0,0.0,0.006807852364269618,1.1627545102264223,1.0099440627083376
2010-08-05,3244.377,-0.0034120875998507882,1,1.0,0.0,-0.0034120875998507882,1.1587870899804082,1.0064980450954275
2010-08-06,3301.802,0.01769985424012077,1,1.0,0.0,0.01769985424012077,1.1792974525683952,1.0243129137865832
2010-08-09,3333.61,0.009633527388983376,1,1.0,0.0,0.009633527388983376,1.1906582468774711,1.0341806602964356
2010-08-10,3226.128,-0.03224192392031455,1,1.0,0.0,-0.03224192392031455,1.1522691342665525,1.0008366861272973
2010-08-11,3253.145,0.008374435236295552,1,1.0,0.0,0.008374435236295552,1.16191873750625,1.0092181281373789
2010-08-12,3214.205,-0.011969955227940976,1,1.0,0.0,-0.011969955227940976,1.1480106222397946,0.9971378323283481
2010-08-13,3265.493,0.015956667356313625,1,1.0,0.0,0.015956667356313625,1.1663290458603897,1.013048829027207
2010-08-16,3340.924,0.023099421741219484,1,1.0,0.0,0.023099421741219484,1.193270572379753,1.036449671173355
2010-08-17,3366.391,0.007622741493072072,1,1.0,0.0,0.007622741493072072,1.2023665654842939,1.044350259087289
2010-08-18,3362.677,-0.0011032586529610144,1,1.0,0.0,-0.0011032586529610144,1.2010400441668923,1.043198070627229
2010-08-19,3376.847,0.00421390457662163,1,1.0,0.0,0.00421390457662163,1.206101112305713,1.047594007751368
2010-08-20,3308.992,-0.020094188454496176,1,1.0,0.0,-0.020094188454496176,1.1818654892598646,1.026543456335811
2010-08-23,3318.44,0.00285525017890631,1,1.0,0.0,0.00285525017890631,1.185240010909517,1.0294744947231689
2010-08-24,3345.492,0.008152023239835549,1,1.0,0.0,0.008152023239835549,1.1949021150232342,1.0378667947289701
2010-08-25,3271.813,-0.022023367564471874,1,1.0,0.0,-0.022023367564471874,1.1685863465405126,1.0150094728256938
2010-08-26,3285.196,0.004090392696648459,1,1.0,0.0,0.004090392696648459,1.1733663235978051,1.019161260160369
2010-08-27,3299.987,0.004502318887518397,1,1.0,0.0,0.004502318887518397,1.1786491929585174,1.023749849151416
2010-08-30,3374.498,0.02257917985737512,1,1.0,0.0,0.02257917985737512,1.205262125075078,1.0468652811243666
2010-08-31,3378.093,0.001065343645187955,1,1.0,0.0,0.001065343645187955,1.2065461434208125,1.0479805523989802
2010-09-01,3347.765,-0.00897784637663912,1,1.0,0.0,-0.00897784637663912,1.195713957498854,1.0385719439938368
2010-09-02,3401.521,0.016057280006213093,1,1.0,0.0,0.016057280006213093,1.2149138713217502,1.055248584505143
2010-09-03,3411.982,0.003075388921602862,1,1.0,0.0,0.003075388921602862,1.2186502039823148,1.058493884311467
2010-09-06,3446.497,0.010115821244074619,1,1.0,0.0,0.010115821244074619,1.230977851604855,1.069201419233108
2010-09-07,3460.921,0.004185118977326763,1,1.0,0.0,0.004185118977326763,1.2361296403722755,1.0736761543833253
2010-09-08,3471.414,0.0030318519261203214,1,1.0,0.0,0.0030318519261203214,1.2398774024033725,1.0769313815000219
2010-09-09,3415.419,-0.016130314621073838,1,1.0,0.0,-0.016130314621073838,1.2198777898110464,1.059560139491119
2010-09-10,3434.13,0.0054783907918765085,1,1.0,0.0,0.0054783907918765085,1.2265607570619619,1.0653648240027465
2010-09-13,3479.449,0.013196646603361062,1,1.0,0.0,0.013196646603361062,1.2427472459104596,1.0794240670887627
2010-09-14,3486.028,0.0018908166206774712,1,1.0,0.0,0.0018908166206774712,1.2450970530583283,1.0814650600555735
2010-09-15,3426.308,-0.017131245073189305,1,1.0,0.0,-0.017131245073189305,1.2237669903024804,1.06293821707367
2010-09-16,3353.931,-0.02112390363037997,1,1.0,0.0,-0.02112390363037997,1.1979162543332906,1.0404848126111579
2010-09-17,3355.767,0.0005474173440060959,1,1.0,0.0,0.0005474173440060959,1.1985720144675795,1.0410543920437563
2010-09-20,3331.836,-0.007131305600180271,1,1.0,0.0,-0.007131305600180271,1.1900246311485876,1.0336303150276824
2010-09-21,3333.738,0.0005708564287076889,1,1.0,0.0,0.0005708564287076889,1.1907039643595994,1.034220369537923
2010-09-27,3402.622,0.020662691549245826,1,1.0,0.0,0.020662691549245826,1.215307113101626,1.0555901460276322
2010-09-28,3380.643,-0.006459430403964905,1,1.0,0.0,-0.006459430403964905,1.2074569213851025,1.0487716349442555
2010-09-29,3358.65,-0.006505567136192658,1,1.0,0.0,-0.006505567136192658,1.1996017293189711,1.0419487806625911
2010-09-30,3420.955,0.018550608131243207,1,1.0,0.0,0.018550608131243207,1.221855070913129,1.0612775641854895
2010-10-08,3528.451,0.03142280445080403,1,1.0,0.0,0.03142280445080403,1.2602491838736556,1.0946258815529157
2010-10-11,3595.386,0.01897008063878447,1,1.0,0.0,0.01897008063878447,1.2841562125167012,1.115391022795275
2010-10-12,3629.271,0.009424579168968217,1,1.0,0.0,0.009424579168968217,1.2962588444068872,1.1259031137939655
2010-10-13,3667.776,0.010609568698507044,1,1.0,0.0,0.010609568698507044,1.3100115916676693,1.1378484602276255
2010-10-14,3628.323,-0.01075665471391929,1,1.0,0.0,-0.01075665471391929,1.2959202493048685,1.1256090172241922
2010-10-15,3700.673,0.019940341584803845,1,1.0,0.0,0.019940341584803845,1.3217613417426717,1.148054045518578
2010-10-18,3667.066,-0.00908132115428728,1,1.0,0.0,-0.00908132115428728,1.3097580025089848,1.137628198028745
2010-10-19,3758.122,0.024830750251018108,1,1.0,0.0,0.024830750251018108,1.3422802763585577,1.1658763596925126
2010-10-20,3778.904,0.005529889662975407,1,1.0,0.0,0.005529889662975407,1.3497029381836088,1.1723235273222836
2010-10-21,3774.813,-0.001082589025812708,1,1.0,0.0,-0.001082589025812708,1.348241764594624,1.1710543827369024
2010-10-22,3791.903,0.004527376587926346,1,1.0,0.0,0.004527376587926346,1.3543457627945144,1.176356186932494
2010-10-25,3899.028,0.028250986378079768,1,1.0,0.0,0.028250986378079768,1.3926073664904322,1.209589409545294
2010-10-26,3900.682,0.00042420828986089454,1,1.0,0.0,0.00042420828986089454,1.3931981220798186,1.210102527400151
2010-10-27,3844.398,-0.014429271599171511,1,1.0,0.0,-0.014429271599171511,1.3730952879848732,1.1926416293694502
2010-10-28,3842.25,-0.0005587350737359387,1,1.0,0.0,-0.0005587350737359387,1.3723280914878946,1.191975258660724
2010-10-29,3846.181,0.0010230984449215441,1,1.0,0.0,0.0010230984449215441,1.373732118224218,1.1931947666942446
2010-11-01,3953.594,0.027927182834089237,1,1.0,0.0,0.027927182834089237,1.4120965862549264,1.2265173351003933
2010-11-02,3940.284,-0.003366557112338797,1,1.0,0.0,-0.003366557112338797,1.4073426824491606,1.2223881944425041
2010-11-03,3889.061,-0.01299982437814129,1,1.0,0.0,-0.01299982437814129,1.3890474747374593,1.2064973625928384
2010-11-04,3966.447,0.019898376497565762,1,1.0,0.0,0.019898376497565762,1.4166872643627781,1.2305047013570307
2010-11-05,4018.234,0.013056269250540709,1,1.0,0.0,0.013056269250540709,1.4351839147301104,1.2465705020520044
2010-11-08,4071.824,0.013336704631935259,1,1.0,0.0,0.013336704631935259,1.4543245386933705,1.2631956446407553
2010-11-09,4064.703,-0.0017488476908629202,1,1.0,0.0,-0.0017488476908629202,1.4517811465821113,1.2609865078545173
2010-11-10,4054.479,-0.0025153129269224195,1,1.0,0.0,-0.0025153129269224195,1.4481294626970511,1.257814732190636
2010-11-11,4048.106,-0.0015718419061979683,1,1.0,0.0,-0.0015718419061979683,1.445853232121984,1.2558376462843457
2010-11-12,3797.948,-0.06179630671726488,1,1.0,0.0,-0.06179630671726488,1.356504842321625,1.1782315179074703
2010-11-15,3856.257,0.01535276417686604,1,1.0,0.0,0.01535276417686604,1.3773309412705659,1.1963206285476546
2010-11-16,3704.685,-0.03930547160108888,1,1.0,0.0,-0.03930547160108888,1.3231942990731547,1.149298682056478
2010-11-17,3600.781,-0.028046649040336713,1,1.0,0.0,-0.028046649040336713,1.2860831329548756,1.1170647052783182
2010-11-18,3652.742,0.014430480498536458,-1,1.0,0.0,0.014430480498536458,1.3046419305244776,1.1331844857234403
2010-11-19,3718.198,0.017919688825545288,-1,-1.0,2.0,-0.01891968882554529,1.2799585111701959,1.15349079908954
