date,put_volume,call_volume,put_amount,call_amount,put_oi,call_oi,volume_pcr,amount_pcr,oi_pcr
2017-03-06,189237.0,251527.0,89512096.0,98745596.0,746571.0,1035292.0,0.7523526301351346,0.9064920323130158,0.7211211909297087
2017-03-07,135332.0,184566.0,63774736.0,76628974.0,758349.0,1044474.0,0.7332444762307251,0.8322535546410944,0.7260582838826051
2017-03-08,151157.0,182057.0,57951946.0,73749391.0,762902.0,1043734.0,0.83027293649791,0.7857955871120346,0.7309352766126235
2017-03-09,241060.0,323020.0,122232724.0,116625626.0,769971.0,1067087.0,0.7462695808309083,1.0480777526544638,0.7215634713945536
2017-03-10,158253.0,210966.0,82247377.0,78505896.0,774690.0,1082055.0,0.7501350928585648,1.0476585987885547,0.7159432746024925
2017-03-13,289065.0,372299.0,138215924.0,143328373.0,777715.0,1056194.0,0.7764323836486265,0.9643305167498134,0.736337263798128
2017-03-14,176960.0,225683.0,69580096.0,92780068.0,768399.0,1061570.0,0.7841086834187777,0.7499465941326967,0.7238326252625827
2017-03-15,204763.0,236385.0,88661561.0,100489917.0,773664.0,1068656.0,0.8662267064323033,0.882293106083469,0.7239598149451273
2017-03-16,286563.0,409256.0,101457746.0,181665950.0,767159.0,1042661.0,0.7002047618116778,0.5584852087031169,0.7357703030994733
2017-03-17,308427.0,375680.0,120774206.0,143379442.0,764737.0,1070720.0,0.8209832836456559,0.8423397686259653,0.7142268753735804
2017-03-20,243015.0,305069.0,100904046.0,106267786.0,756951.0,1062753.0,0.7965902795760958,0.9495261903734402,0.7122548701344527
2017-03-21,223363.0,294847.0,92426633.0,108254506.0,743724.0,1042177.0,0.7575556135894209,0.8537901692517076,0.713625420633923
2017-03-22,318069.0,372034.0,135223521.0,122720458.0,722004.0,1059049.0,0.8549460533177076,1.1018824668988767,0.681747492325662
2017-03-23,284294.0,353429.0,112174052.0,124798012.0,565581.0,786922.0,0.8043878685676614,0.8988448630095165,0.7187256170243048
2017-03-24,290178.0,359532.0,107062895.0,145006113.0,590114.0,794831.0,0.807099228997697,0.738333665974482,0.742439587786586
2017-03-27,217572.0,307309.0,75358430.0,139172342.0,593557.0,814400.0,0.7079909797630398,0.5414756187691373,0.7288273575638506
2017-03-28,156503.0,193441.0,59009975.0,81681980.0,611640.0,850478.0,0.8090477199766337,0.7224356583912388,0.7191720420751624
2017-03-29,158773.0,217783.0,65441827.0,87763230.0,625787.0,870902.0,0.7290422117428816,0.7456633831731124,0.7185504224355898
2017-03-30,223227.0,266730.0,96142635.0,101647010.0,644841.0,924332.0,0.8369024856596559,0.9458481366052971,0.6976292068217913
2017-03-31,138622.0,198458.0,52676939.0,79137245.0,655970.0,914029.0,0.6984953995303792,0.6656402936442884,0.7176686954133841
2017-04-05,282832.0,382016.0,86000786.0,174277573.0,668615.0,885985.0,0.7403668956274083,0.4934701839117303,0.7546572458901675
2017-04-06,225769.0,290062.0,73766336.0,129688511.0,685378.0,884560.0,0.7783473877998497,0.5687962289890119,0.7748236411323144
2017-04-07,200988.0,236452.0,64167950.0,107458027.0,698782.0,895694.0,0.8500160709150272,0.5971443157057034,0.7801570625682431
2017-04-10,138891.0,179043.0,42284292.0,72735573.0,700619.0,915200.0,0.7757410231061812,0.5813426670880836,0.7655364947552448
2017-04-11,379865.0,451857.0,133160260.0,174575541.0,706091.0,966587.0,0.8406752578802585,0.7627658447296463,0.7304991687245949
2017-04-12,213062.0,280284.0,78272731.0,116850522.0,715373.0,993309.0,0.7601646901000414,0.669853498814494,0.7201918033562568
2017-04-13,150771.0,185054.0,57413936.0,73379837.0,726212.0,1006063.0,0.8147405622142726,0.7824211438354653,0.7218355112950183
